county_name,is_coastal,fips
Alachua,0,12001
Baker,0,12003
Bay,1,12005
Bradford,0,12007
Brevard,1,12009
Broward,1,12011
Calhoun,0,12013
Charlotte,1,12015
Citrus,1,12017
Clay,0,12019
Collier,1,12021
Columbia,0,12023
DeSoto,0,12027
Dixie,1,12029
Duval,1,12031
Escambia,1,12033
Flagler,1,12035
Franklin,1,12037
Gadsden,0,12039
Gilchrist,0,12041
Glades,0,12043
Gulf,1,12045
Hamilton,0,12047
Hardee,0,12049
Hendry,0,12051
Hernando,1,12053
Highlands,0,12055
Hillsborough,1,12057
Holmes,0,12059
Indian River,1,12061
Jackson,0,12063
Jefferson,1,12065
Lafayette,0,12067
Lake,0,12069
Lee,1,12071
Leon,0,12073
Levy,1,12075
Liberty,0,12077
Madison,0,12079
Manatee,1,12081
Marion,0,12083
Martin,1,12085
Miami-Dade,1,12086
Monroe,1,12087
Nassau,1,12089
Okaloosa,1,12091
Okeechobee,0,12093
Orange,0,12095
Osceola,0,12097
Palm Beach,1,12099
Pasco,1,12101
Pinellas,1,12103
Polk,0,12105
Putnam,0,12107
St. Johns,1,12109
St. Lucie,1,12111
Santa Rosa,1,12113
Sarasota,1,12115
Seminole,0,12117
Sumter,0,12119
Suwannee,0,12121
Taylor,1,12123
Union,0,12125
Volusia,1,12127
Wakulla,1,12129
Walton,1,12131
Washington,0,12133
